name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,KAT_efficiency,min_distance_to_false,iteration,reference_frontier,from_point_name,to_reference_name,node_id,parent_node_id,path_id,POZ_efficiency,WAW_efficiency,KRK_efficiency,WRO_efficiency,GDN_efficiency
RZE__to__KAT_cand_648,0.24,6,11.3,1.6500000000000004,0.3,-2.83,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_685,0.24,6,11.3,2.7000000000000006,0.3,-0.7199999999999998,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_722,0.24,6,11.3,4.800000000000001,0.3,1.3900000000000006,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_667,0.24,6,11.3,2.7,0.3,-0.7199999999999998,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_684,0.24,6,11.3,2.7000000000000006,0.3,-2.83,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_723,0.24,6,11.3,4.800000000000001,0.3,3.5,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_724,0.24,6,11.3,4.800000000000001,0.3,3.500000000000001,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_666,0.24,6,11.3,2.7,0.3,-2.83,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_738,0.24,6,11.3,5.850000000000001,0.3,-2.83,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_706,0.24,6,11.3,3.75,0.3,3.500000000000001,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_705,0.24,6,11.3,3.75,0.3,3.5,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_703,0.24,6,11.3,3.75,0.3,-0.7199999999999998,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_686,0.24,6,11.3,2.7000000000000006,0.3,1.3900000000000006,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_668,0.24,6,11.3,2.7,0.3,1.3900000000000006,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_669,0.24,6,11.3,2.7,0.3,3.5,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_687,0.24,6,11.3,2.7000000000000006,0.3,3.5,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_688,0.24,6,11.3,2.7000000000000006,0.3,3.500000000000001,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_670,0.24,6,11.3,2.7,0.3,3.500000000000001,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_720,0.24,6,11.3,4.800000000000001,0.3,-2.83,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_739,0.24,6,11.3,5.850000000000001,0.3,-0.7199999999999998,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_740,0.24,6,11.3,5.850000000000001,0.3,1.3900000000000006,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_741,0.24,6,11.3,5.850000000000001,0.3,3.5,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_742,0.24,6,11.3,5.850000000000001,0.3,3.500000000000001,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_650,0.24,6,11.3,1.6500000000000004,0.3,1.3900000000000006,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_904,0.24,6,11.3,14.250000000000002,0.3,3.500000000000001,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_903,0.24,6,11.3,14.250000000000002,0.3,3.5,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_900,0.24,6,11.3,14.250000000000002,0.3,-2.83,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_901,0.24,6,11.3,14.250000000000002,0.3,-0.7199999999999998,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_902,0.24,6,11.3,14.250000000000002,0.3,1.3900000000000006,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_756,0.24,6,11.3,6.9,0.3,-2.83,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_757,0.24,6,11.3,6.9,0.3,-0.7199999999999998,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_758,0.24,6,11.3,6.9,0.3,1.3900000000000006,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_759,0.24,6,11.3,6.9,0.3,3.5,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_884,0.24,6,11.3,13.2,0.3,1.3900000000000006,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_886,0.24,6,11.3,13.2,0.3,3.500000000000001,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_885,0.24,6,11.3,13.2,0.3,3.5,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_867,0.24,6,11.3,12.150000000000002,0.3,3.5,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_868,0.24,6,11.3,12.150000000000002,0.3,3.500000000000001,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_882,0.24,6,11.3,13.2,0.3,-2.83,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_883,0.24,6,11.3,13.2,0.3,-0.7199999999999998,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_760,0.24,6,11.3,6.9,0.3,3.500000000000001,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_774,0.24,6,11.3,7.950000000000001,0.3,-2.83,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_775,0.24,6,11.3,7.950000000000001,0.3,-0.7199999999999998,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_776,0.24,6,11.3,7.950000000000001,0.3,1.3900000000000006,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_865,0.24,6,11.3,12.150000000000002,0.3,-0.7199999999999998,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_866,0.24,6,11.3,12.150000000000002,0.3,1.3900000000000006,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_848,0.24,6,11.3,11.1,0.3,1.3900000000000006,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_850,0.24,6,11.3,11.1,0.3,3.500000000000001,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_849,0.24,6,11.3,11.1,0.3,3.5,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_864,0.24,6,11.3,12.150000000000002,0.3,-2.83,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_792,0.24,6,11.3,9.000000000000002,0.3,-2.83,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_778,0.24,6,11.3,7.950000000000001,0.3,3.500000000000001,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_777,0.24,6,11.3,7.950000000000001,0.3,3.5,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_847,0.24,6,11.3,11.1,0.3,-0.7199999999999998,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_846,0.24,6,11.3,11.1,0.3,-2.83,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_831,0.24,6,11.3,10.5,0.3,3.5,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_832,0.24,6,11.3,10.5,0.3,3.500000000000001,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
RZE__to__KAT_cand_793,0.24,6,11.3,9.000000000000002,0.3,-0.7199999999999998,1.0,True,1.0,0.36,1,3,RZE,KAT,node_branch_000001,node_root,RZE -> KAT,,,,,
